AGUASCALIENTES,7,33,91,8,32,203,148,93,83,107,8,24,837
BAJACALIFORNIA,22,15,37,6,22,18,20,19,42,18,20,24,263
BAJACALIFORNIASUR,26,17,15,8,2,39,51,37,105,39,16,7,362
CAMPECHE,90,32,83,26,71,158,79,204,184,198,124,79,1326
COAHUILA,26,29,72,34,80,74,49,33,37,70,15,6,525
COLIMA,1,129,306,0.7,25,173,207,220,241,602,15,37,1957
CHIAPAS,83,31,53,81,127,207,135,197,341,247,150,91,1741
CHIHUAHUA,38,30,55,20,7,83,139,97,74,47,33,7,631
DISTRITOFEDERAL,0.3,3,20,8,70,74,94,79,114,20,5,4,492
DURANGO,32,37,75,13,9,104,108,73,87,70,5,15,627
GUANAJUATO,5,12,127,17,100,144,142,102,113,65,6,10,841
GUERRERO,0.3,3,42,3,112,142,148,150,234,128,32,11,1003
HIDALGO,19,16,94,44,68,85,70,67,98,60,52,9,681
JALISCO,7,42,140,7,43,183,180,136,160,197,16,35,1146
ESTADODEMEXICO,2,11,62,16,129,128,141,117,168,57,18,10,859
MICHOACAN,2,18,159,8,75,132,164,118,130,165,7,19,997
MORELOS,0.3,3,63,10,156,262,163,258,296,87,28,1,1327
NAYARIT,42,83,88,3,9,145,203,233,360,177,34,66,1443
NUEVOLEÓN,25,33,85,81,126,90,22,43,65,89,20,4,682
OAXACA,19,5,30,32,70,173,158,123,176,116,79,21,1002
PUEBLA,31,11,93,46,124,165,133,133,236,114,89,12,1185
QUERETARO,9,15,110,28,94,129,97,85,96,61,26,7,757
QUINTANAROO,74,41,43,18,22,271,43,96,171,379,225,114,1496
SANLUISPOTOSI,24,21,100,37,109,130,74,79,92,88,35,7,794
SINALOA,30,33,35,13,5,81,201,256,213,116,25,41,1049
SONORA,54,19,41,18,3,76,131,119,116,34,27,7,644
TABASCO,294,79,156,86,81,237,92,194,289,361,274,283,2426
TAMAULIPAS,27,19,81,75,151,127,43,77,115,133,39,5,892
TLAXCALA,8,4,64,30,134,141,106,74,171,38,25,5,800
VERACRUZ,80,21,99,50,70,152,149,157,201,259,192,58,1489
YUCATÁN,47,44,33,11,32,138,73,158,173,117,130,24,978
ZACATECAS,20,48,79,13,29,168,100,71,89,92,16,17,742
NACIONAL,38,27,70,27,54,119,110,108,133,111,50,26,872
