D a t e , D r o u g h t L e v e l , P r o d u c t i o n
2006-01-31,1,60.039
2006-02-28,2,44.14
2006-03-31,3,108.539
2006-04-30,3,70.88
2006-05-31,2,587.833
2006-06-30,2,567.704
2006-07-31,1,1897.632
2006-08-31,0,915.153
2006-09-30,0,1082.626
2006-10-31,0,345.857
2006-11-30,0,198.572
2006-12-31,0,0
2007-01-31,0,261.816
2007-02-28,0,249.88
2007-03-31,1,172.47
2007-04-30,2,110.809
2007-05-31,2,445.596
2007-06-30,2,1397.921
2007-07-31,1,2850.306
2007-08-31,0,2415.601
2007-09-30,0,495.699
2007-10-31,1,302.712
2007-11-30,1,300.999
2007-12-31,1,0
2008-01-31,2,141.909
2008-02-29,2,286.216
2008-03-31,2,11.1
2008-04-30,2,90.6
2008-05-31,2,152.511
2008-06-30,2,1356.956
2008-07-31,1,3153.505
2008-08-31,1,2380.3
2008-09-30,0,3951.219
2008-10-31,0,1104.716
2008-11-30,0,294.489
2008-12-31,0,252.15
2009-01-31,0,329.471
2009-02-28,0,275.933
2009-03-31,1,254.729
2009-04-30,1,199.399
2009-05-31,1,419.932
2009-06-30,1,802.781
2009-07-31,1,855.533
2009-08-31,2,850.894
2009-09-30,2,447.408
2009-10-31,2,136.443
2009-11-30,2,176.064
2009-12-31,2,0
2010-01-31,2,294.27
2010-02-28,0,1054.971
2010-03-31,0,248.258
2010-04-30,0,3577.608
2010-05-31,0,3172.559
2010-06-30,0,2366.393
2010-07-31,0,467.228
2010-08-31,0,141.66
2010-09-30,0,187.642
2010-10-31,0,0
2010-11-30,0,0
2010-12-31,0,0
2011-01-31,0,363.168
2011-02-28,0,374.427
2011-03-31,1,49.277
2011-04-30,2,431.589
2011-05-31,2,244.395
2011-06-30,3,561.153
2011-07-31,2,2016.186
2011-08-31,2,1848.554
2011-09-30,1,697.955
2011-10-31,2,484.609
2011-11-30,2,238.711
2011-12-31,2,130.809
2012-01-31,2,179.359
2012-02-29,0,687.831
2012-03-31,0,172.182
2012-04-30,0,209.981
2012-05-31,0,209.493
2012-06-30,0,722.205
2012-07-31,0,2292.607
2012-08-31,0,1234.719
2012-09-30,0,978.019
2012-10-31,0,311.034
2012-11-30,0,161.191
2012-12-31,0,155.029
2013-01-31,0,461.812
2013-02-28,0,266.087
2013-03-31,0,153.446
2013-04-30,0,167.662
2013-05-31,0,72.711
2013-06-30,0,682.794
2013-07-31,0,1348.902
2013-08-31,0,926.691
2013-09-30,0,1444.281
2013-10-31,0,451.29
2013-11-30,0,463.923
2013-12-31,0,0
2014-01-31,0,525.067
2014-02-28,0,219.767
2014-03-31,0,273.305
2014-04-30,0,310.387
2014-05-31,0,270.009
2014-06-30,0,806.096
2014-07-31,0,993.628
2014-08-31,0,998.656
2014-09-30,0,1518.267
2014-10-31,0,1556.504
2014-11-30,0,539.093
2014-12-31,0,370.515
2015-01-31,0,348.007
2015-02-28,0,389.609
2015-03-31,0,750.926
2015-04-30,0,371.72
2015-05-31,0,1427.149
2015-06-30,0,2904.7
2015-07-31,0,1533.837
2015-08-31,0,1630.549
2015-09-30,0,938.747
2015-10-31,0,556.295
2015-11-30,0,513.021
2015-12-31,0,0
