Nombre,CapacidadEfectiva
chicoasen,2400
malpaso,1080
angostura,900
penitas,420
cecilio_del_valle,21
bombana,5.24
tamazulapan,2.48
schpoina,2.24
infiernillo,1200
aguamilpa_solidaridad,960
el_cajon,750
la_yesca,750
villita,320
agua_prieta,240
cupatitzio,80
santa_rosa,70
cobano,60
colimilla,51.2
botello,18
platanal,12.6
puente_grande,9
zumpimito,8.4
las_juntas,0
luis_m_rojas,5.32
san_pedro_poruas,2.56
jumatan,2.18
tirio,1.096
bartolinas,0.75
itzicuaro,0.624
huites,422
el_novillo,135
comedero,100
bacurato,92
humaya,90
el_fuerte,59.4
oviachic,19.2
sanalona,14
mocuzari,9.6
caracol,600
zimapan,292
el_durazno,0
ixtapatongo,0
tingambato,42
santa_barbara,22.525
la_venta,30
colotlipa,8
portezuelo_i,2
palazuelo_2,2.12
temascal,354
mazatepec,220
tuxpango,36
chilapan,26
el_salto,18
minas,15
encanto,10
texolo,1.6
ixtaczoquitlan,1.6
electroquimica,1.44
micos,0.688
la_amistad,66
falcon,31.5
boquilla,25
colina,3
