P l a n t a , 2 5 % , 5 0 % , 7 5 %
tingambato.csv,0.0,1057.835,3784.37125
santa_rosa.csv,8803.675,13105.526,24015.2245
peunte_grande.csv,952.65575,1677.417,3142.793
luis_m_rojas.csv,185.57125,373.0735,929.705
agua_prieta.csv,15131.6,16979.35,22934.179
colimilla.csv,1014.041,1955.7595,5118.164
temascal.csv,73092.43275,109700.6895,146662.5925
tamazulapan.csv,402.375,603.8695,737.73925
colotipa.csv,2279.75025,2518.9995,2909.49925
la_venta.csv,1857.25,8023.0,15717.5
el_caracol.csv,35761.18625,56132.859,118916.71325
palazuelo_1.csv,292.1195,386.92,1125.60275
mazatepec.csv,26247.3115,36045.2855,61987.0515
el_encanto.csv,3645.739,4462.5515,5749.0565
ixtaczoquitlan.csv,875.31075,1016.716,1121.6575
tuxpango.csv,9587.1245,12958.196,20622.40475
las_minas.csv,6653.11775,7061.906,7729.231
chilapan.csv,5370.898,9281.0355,15318.10425
texolo.csv,706.23125,990.7795,1115.69775
falcon.csv,1679.24525,3814.2695,8214.73825
la_amistad.csv,3846.33475,6305.4945,11812.47075
electroquimica.csv,740.743,801.394,867.35975
el_salto.csv,4254.6475,6282.429,10618.54625
micos.csv,129.1545,172.54,266.53575
colina.csv,0.0,829.4,1450.6155
boquilla.csv,0.0,7469.209,11605.408
el_fuerte.csv,14159.887,26039.325,37779.1265
sanalona.csv,1170.31975,3684.178,7013.62475
bacurato.csv,720.93025,19482.1655,34515.165
huites.csv,32077.5775,61084.5515,97157.75175
humaya.csv,3140.661,14923.7405,30456.5685
comedero.csv,3035.9035,13558.152,35292.29675
zimapan.csv,88649.45875,118648.121,166882.366
el_cajon.csv,1602.9875,35359.0,98317.044
jumatan.csv,355.05225,856.5495,1147.8185
solidaridad.csv,54349.37425,74351.2675,142595.56225
macuzari.csv,0.0,4298.83,7251.22475
oviachic.csv,2679.8355,6153.185,12435.83175
el_novillo.csv,17114.6055,33338.7095,53106.7705
tirio.csv,167.83,246.7125415,299.646
el_platanal.csv,2967.25,3383.5,4237.25
san_pedro_puruas.csv,250.294,489.642,663.1055
itzicuaro.csv,183.12925,320.511,349.6185
cupatitzio.csv,29248.62375,33670.7725,36680.101
botello.csv,4171.252,5421.7065,7473.9555
infernillo.csv,158029.4525,226920.312,302162.55025
la_villita.csv,67864.44525,94632.158,124578.30425
zumpinito.csv,2625.36375,3458.237,3925.7415
el_cobano.csv,17224.19975,19498.378,22653.102
bartonilas.csv,108.551,179.5405,251.34825
cecilio_del_valle.csv,4552.66,7637.231,11471.1945
schpoina.csv,500.34525,676.241,972.44275
chicoasen.csv,319601.989,501943.471,658652.38025
malpaso.csv,203649.739,314551.0,449094.75175
bombana.csv,1572.18375,2094.441,2469.86
angostura.csv,143053.214,221381.228,306010.8665
penitas.csv,106571.5645,144640.9995,197169.413
