central/proyecto,Nombre,region_de_control,region_de_transmision
chicoasen,chicoasen,02-oriental,39-grijalva
infiernillo,infiernillo,03-occidental,29-lazaro_cardenas
malpaso,malpaso,02-oriental,39-grijalva
aguamilpa_solidaridad,aguamilpa_solidaridad,03-occidental,22-tepic
angostura,angostura,02-oriental,39-grijalva
el_cajon,el_cajon,03-occidental,23-guadalajara
la_yesca,la_yesca,03-occidental,23-guadalajara
caracol,caracol,02-oriental,35-acapulco
huites,huites,04-noroeste,03-obregon
penitas,penitas,02-oriental,38-tabasco
temascal,temascal,02-oriental,36-temascal
villita,villita,03-occidental,29-lazaro_cardenas
zimapan,zimapan,03-occidental,30-queretaro
agua_prieta,agua_prieta,03-occidental,23-guadalajara
mazatepec,mazatepec,02-oriental,32-poza_rica
el_novillo,el_novillo,04-noroeste,01-hermosillo
necaxa,,02-oriental,32-poza_rica
comedero,comedero,04-noroeste,05-culiacan
bacurato,bacurato,04-noroeste,04-los_mochis
humaya,humaya,04-noroeste,05-culiacan
cupatitzio,cupatitzio,03-occidental,28-carapan
lerma,zumpimito,01-central,31-central
santa_rosa,santa_rosa,03-occidental,23-guadalajara
la_amistad,la_amistad,06-noreste,12-rio_escondido
cobano,cobano,03-occidental,29-lazaro_cardenas
el_fuerte,el_fuerte,04-noroeste,04-los_mochis
colimilla,colimilla,03-occidental,23-guadalajara
tepexic,,02-oriental,34-puebla
patla,,02-oriental,32-poza_rica
tuxpango,tuxpango,02-oriental,36-temascal
compania_de_energia_mexicana,,02-oriental,32-poza_rica
falcon,falcon,06-noreste,13-nuevo_laredo
electricidad_del_golfo,,02-oriental,36-temascal
mexicana_de_hidroelectricidad_mexhidro,,02-oriental,35-acapulco
chilapan,chilapan,02-oriental,37-coatzacoalcos
boquilla,boquilla,05-norte,09-chihuahua
el_retiro,,02-oriental,39-grijalva
primero_empresa_minera,,04-noroeste,05-culiacan
oviachic,oviachic,04-noroeste,03-obregon
proveedora_de_electricidad_de_occidente,,03-occidental,23-guadalajara
el_salto,el_salto,06-noreste,18-valles
botello,botello,03-occidental,28-carapan
minas,minas,02-oriental,36-temascal
sanalona,sanalona,04-noroeste,05-culiacan
platanal,platanal,03-occidental,28-carapan
procesamiento_energetico_mexicano,,02-oriental,36-temascal
encanto,encanto,02-oriental,32-poza_rica
cerveceria_cuauhtemoc-moctezuma_planta_orizaba,,00-autoabasto,00-autoabasto_local
mocuzari,mocuzari,04-noroeste,03-obregon
hidroelectricidad_del_pacifico,,03-occidental,27-manzanillo
puente_grande,puente_grande,03-occidental,23-guadalajara
zumpimito,zumpimito,03-occidental,28-carapan
hidroelectrica_arco_iris,,03-occidental,23-guadalajara
colotlipa,colotlipa,02-oriental,35-acapulco
alameda,,01-central,31-central
intermedia,,03-occidental,23-guadalajara
bombana,bombana,02-oriental,39-grijalva
hidrorizaba_ii,,02-oriental,33-veracruz
gobierno_del_estado_de_michoacan_de_ocampo,,03-occidental,28-carapan
colina,colina,05-norte,09-chihuahua
san_pedro_poruas,,03-occidental,28-carapan
compania_electrica_carolina,,00-autoabasto,00-autoabasto_local
tamazulapan,tamazulapan,02-oriental,36-temascal
schpoina,schpoina,02-oriental,39-grijalva
jumatan,jumatan,03-occidental,22-tepic
portezuelo_ii,,02-oriental,34-puebla
portezuelo_i,,02-oriental,34-puebla
ixtaczoquitlan,ixtaczoquitlan,02-oriental,36-temascal
texolo,texolo,02-oriental,33-veracruz
hidrorizaba,,02-oriental,33-veracruz
electroquimica,electroquimica,06-noreste,18-valles
papelera_veracruzana,,00-autoabasto,00-autoabasto_local
hidroelectrica_cajon_de_pena,,03-occidental,27-manzanillo
tirio,tirio,03-occidental,28-carapan
bartolinas,,03-occidental,28-carapan
micos,micos,06-noreste,18-valles
ingenio_tamazula_planta_sant,,00-autoabasto,00-autoabasto_local
itzicuaro,itzicuaro,03-occidental,28-carapan
energia_ep,,02-oriental,34-puebla
