central,unidad,neta,bruta,isc,,isc+adp,,caio
Termoeléctricaconvencional,2,350,333.7,1091,,1309,,1531
condesulfuradoryequipo,2,160,149.8,1339,,1607,,1861
paracontroldepartículas,2,80,75,1682,,2018,,2342
Turbogásaeroderivadagas,1,44.7,43.6,883,,1059,,1111
1,103.5,100.5,886,1063,,1122,,
Turbogásindustrialgas,1,88.8,87.8,629,,755,,792
1F,,186.5,184.5,478,,573,,605
1G,,275.6,272.7,412,,495,,522
1H,,280.4,277.6,408,,490,,517
1J,,319,315.7,425,,510,,538
Turbogásaeroderivadadiesel,1,42.3,41.6,862,,1035,,1085
Ciclocombinadogas1A,1,114.4,110.8,1170,,1404,,1598
1F,1,285.7,278.3,695,,834,,951
2F,1,575.1,559.9,673,,807,,927
3F,1,864.6,841,670,,805,,921
1G,1,408.5,396.2,647,,777,,880
2G,1,823.8,798,654,,785,,899
1H,1,413.4,402.2,637,,765,,866
2H,1,833.6,809.9,643,,772,,884
1J,1,460.9,447.6,639,,767,,879
2J,1,929.7,901.7,637,,764,,875
Combustióninterna1,,44,42.4,2255,,2706,,3144
3,,3.6,3.3,2467,,2960,,3263
3/,,,,,,,,
Carboeléctricasindesulf.,2,350,332.5,1160,,1392,,1700
Carbsupercríticasindesulf.,1,700,670.3,1188,,1425,,1782
Carbsupercríticadesulf.,1,700,659.8,1412,,1695,,2119
NuclearABWR,1,1400,1351,3265,,3983,,6281
NuclearAP1000,1,1200,1107,3890,,4746,,6557
Geoterm.,4,27,25,1916,,2261,,2530
Geoterm.,4,26.6,25,1543,,1821,,2038
Hidroelectrica,2,375,373.1,1010,,1173,,1487
Hidroelectrica,3,81.2,80,1482,,1586,,1901
Hidroelectrica,3,35.5,35,2561,,2891,,3389
Eólicaclasedeviento,50,2,2,1732,,1836,,2016
Eólicaclasedeviento,50,2,2,1732,,1836,,2016
Solarfotovoltaica,1,60,59.9,1900,,2128,,2353
