Ano,Costos de Inversion,Costos Fijos de Operacion y Mantenimiento,Costos Variables de Operacion y Mantenimiento,Costos de Combustible,Costos de Falla,Total,Variación (%)
2016,895.8989414,1663.345424,818.9710262,6058.267858,0.00609455,9436.489344,0
2017,1471.141416,1585.213344,755.2500583,6234.26598,0.008721297,10045.87952,6.457806003
2018,2111.561573,1502.607034,698.0629081,5506.28794,0.000869467,9818.520324,-2.26320846
2019,2946.929726,1438.619189,645.3927565,5168.205828,5.4844E-06,10199.14751,3.876624668
2020,3293.765974,1329.980671,618.8489672,4729.251289,8.37405E-06,9971.84691,-2.228623469
2021,3176.542987,1223.242692,587.6828803,4382.449913,0.001771112,9369.920244,-6.036260608
2022,3106.880158,1121.272366,550.6778969,4149.6984,0.005081984,8928.533903,-4.710673399
2023,3033.113938,1040.937003,512.7956022,3965.517904,0.01319693,8552.377644,-4.212967808
2024,3054.287007,974.3065869,481.5096979,3698.129655,2.197618094,8210.430565,-3.99826917
2025,2988.706643,902.5969003,446.8524873,3496.127543,0.004452999,7834.288027,-4.58127665
2026,2913.611224,842.432964,416.7131424,3300.795837,0.520894515,7474.074062,-4.597915779
2027,2800.503239,782.445968,391.8556535,3250.000613,3.368342662,7228.173816,-3.290042942
2028,2925.641682,752.5448742,364.9808817,2925.98358,1.852976787,6971.003995,-3.557880965
2029,2990.235875,711.9389018,341.3646948,2753.42031,10.74826646,6807.708048,-2.342502559
2030,33203.20816,7436.615136,3511.01232,28595.88201,718.3701674,73465.08779,0
Total,70912.02854,23308.09905,11141.97097,88214.28466,737.0984681,194313.4817,
