,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Hidroelectrica,34153.6376,34108.79876,34812.89518,34893.1485,34988.74617,36842.60328,44122.72266,46129.23379,49285.84656,49151.18578,49902.04173,49902.04173,50038.75965,49902.04173,49902.04173
Eolica,10520.88337,13109.47646,15762.66128,21480.26147,27753.44096,30758.79317,30758.79317,30758.79317,34659.45751,39673.42149,43715.6375,47365.63539,47495.49754,47365.63539,47365.63539
Geotermica,6603.970306,6637.726557,6688.442982,6748.310429,8599.267914,10304.41228,10771.68119,11153.99212,11475.61939,11628.34087,12017.73163,12463.76104,12497.90833,12463.76104,12463.76104
Solar Fotovoltaica,556.7289273,2712.958036,4535.412614,6350.061352,6570.91766,6733.223751,6914.551,7107.167355,7333.094648,8878.46143,10584.94566,12151.47931,12376.14035,12518.80706,12697.11612
Termosolar,19.10261484,26.9694437,26.96944369,26.9694437,27.04986782,26.96944371,26.96944371,26.9694437,27.04986781,26.9694437,26.9694437,26.9694437,27.04986783,26.96944369,26.9694437
Nucleoelectrica,10717.8132,11062.0404,11062.0404,11062.0404,11092.34736,11062.0404,11062.0404,11062.0404,11092.34736,11062.0404,11062.0404,11062.0404,20406.49558,29639.43985,38928.13958
Bioenergia,276.1393118,258.1918447,278.2586107,335.1928475,257.8634188,257.1605144,301.2422223,388.2664688,468.617502,492.8273852,492.8270894,899.5836192,472.3991935,279.087559,257.1933228
Cogeneracion,2310.050397,3472.111711,4751.846096,5439.734397,7830.420606,9765.941246,10428.75667,17581.02408,20470.57726,20414.6316,20414.6305,20514.23912,19540.59993,18629.58006,18134.82189
Total,65158.32573,71388.27321,77918.52661,86335.71884,97120.05395,105751.1441,114386.7568,124207.4868,134812.6101,141327.8784,148216.824,154385.7501,162854.8504,170825.3221,179775.6785
